,EWE,ENGLISH
7658,"Mefaa avi eye mebiaa ɖokuinye be tsu kum mele hã. ""","I cried and wondered if I was going crazy. """
7659,"Rondro, exɔ ƒe 50.","Rondro, 50 years of age."
7660,"""Èfɔ gbe ɖeka ŋdi hekpɔe be wò aƒe me katã le nyamaa.","""You wake up in the morning and find your house is a mess."
7661,Èdi wò nuwo do kpoe.,You cannot find personal things.
7662,"Nu siwo nèwɔna bɔbɔe ƒe geɖewoe nye esia la wɔwɔ zu dɔ na wò, eye mènya nu si gbɔ wòtso o. ""","What you had been doing with ease for years, now seems so difficult, and you don’t know why. """
7663,"Hanta, exɔ ƒe 55.","Hanta, 55 years of age."
7664,MENYE dɔ lém nyɔnu siawo le o.,THESE women were not ill.
7665,Ke boŋ ɖe wole gbɔtotsotso (si fia be wodzudzɔ dzinukpɔkpɔ alo asiɖoɖo anyi) ƒe ɣeyiɣi me tom.,"Rather, they were going through the menopause transition, a natural change in a woman’s life and the end of her fertility."
7666,"Ne nyɔnue nènye la, ɖe nèle ɣeyiɣi ma gogoma?","If you are a woman, are you approaching that time of life?"
7667,Alo ɖe nèle ɣeyiɣi ma me fifia?,Are you going through it?
7668,"Aleke kee wòɖale o, ne wò kple wò ame veviwo mienya nu tso ɣeyiɣi sia ŋu nyuie la, akpe ɖe mia ŋu geɖe ŋutɔ miate ŋu anɔ te ɖe kuxi siwo vana le ɣeyiɣi sia me la nu dzidzedzetɔe.","Whatever the case may be, the more that you and your loved ones know about this transition, the better equipped you will be to meet the challenges associated with it."
7669,Gbɔtotsotso Ƒe Ɣeyiɣi,The Menopause Transition
7670,Gbɔtotsotso ƒe ɣeyiɣiwo lɔ ɣeyiɣi siwo do ŋgɔ teti na gbɔtotsotso kple gbɔtotsotsoa ŋutɔ siaa hã ɖe eme.,"The menopause transition, also called perimenopause (around menopause), includes both the period leading up to menopause and menopause itself."
7671,"Gake zi geɖe la, ne wozã nya gbɔtotsotso la, efia ɣeyiɣi mawo katã.","In common usage, however, ""menopause "" often refers to the entire transition."
7672,"Nyɔnu geɖewo dzudzɔa asiɖoɖo anyi le woƒe ƒe 40-awo me, gake bubuwo tɔ ya dzea egɔme ne wole woƒe ƒe 60-awo me.","Most women start perimenopause in their 40’s, but some do so as late as their 60’s."
7673,"Zi geɖe la, ɖe asiɖoanyi nɔa tsotsom vivivi.","In most cases, menstruation ceases gradually."
7674,"Esi lãmetsiwo megadzina ɖe lã me na nyɔnuwo ɖe ɖoɖo nu le ɣeyiɣi sia me o ta la, ɣeaɖewoɣi la nyɔnu aɖewo mekpɔa dzinu o alo kpɔa dzinu le vo me alo ʋu gbogbo aɖewo dona le wo ŋu le woƒe asiɖoanyiɣi.","Because of the erratic production of hormones, a woman may skip periods, bleed at odd times, or have extra-heavy periods."
7675,Nyɔnu ʋɛ aɖewo hã dzudzɔa asiɖoɖo anyi gbe ɖeka kple eƒe zãdodo.,"A small number of women stop menstruating abruptly, almost overnight, as it were."
7676,"Agbalẽ aɖe gblɔ be: ""Nyɔnu ɖe sia ɖe kple nu si me wòtona ne edzudzɔ asiɖoɖo anyi. ""","""Each woman’s menopause experience is different, "" says Menopause Guidebook."
7677,"(Menopause Guidebook) Agbalẽa gblɔ hã be: ""Nu siwo me nyɔnu geɖewo tona ne wodzudzɔ asiɖoɖo anyie nye be woƒe lã me xɔa dzo gbãgbãgbã, "" eye vuvɔ tea ŋu wɔa wo vevie le esia megbe.","It also states: ""The most common menopause-related discomfort is the hot flash (sometimes called a hot flush), "" which may be followed by a cold chill."
7678,"Esia nana be wometea ŋu dɔa alɔ̃ o, eye woƒe lã me gbɔdzɔna.",Those symptoms can disrupt sleep and sap energy.
7679,Ɣeyiɣi didi kae nɔnɔme sia nɔa anyi?,How long do the discomforts last?
7680,"Le agbalẽ bubu (The Menopause Book) aɖe ƒe nya nu la, ""nyɔnu aɖewo ƒe lã me xɔa dzo tso ɣeyiɣi yi ɣeyiɣi hena ƒe ɖeka alo ƒe eve sɔŋ ne wodzudzɔ asiɖoɖo anyi.","According to The Menopause Book, ""some women get a few hot flashes for a year or two around the time of the menopause transition."
7681,"Nyɔnu bubuwo ya tɔ nɔa anyi ƒe geɖe, eye ame ʋɛ aɖewo hã tɔ yia edzi le woƒe agbe me katã. ""","Others suffer for many years, and a very small percentage report occasional hot flashes for the rest of their lives. """
7682,"Lãmetsiwo ƒe dɔmawɔmawɔ nyuie tea ŋu nana be nu tena ɖe nyɔnu aɖewo dzi, wonɔa anyi ko léa blanui alo doa dziku, esia wɔnɛ be wofaa avi, wotɔtɔna eye wonɔa nu ŋlɔm be edziedzi.","Because of fluctuating hormones, a woman may also experience depression and mood swings, resulting in weepiness, as well as poor concentration and lapses in memory."
7683,"Agbalẽa gagblɔ be: ""Mebɔ kura be nu siawo katã nadzɔ ɖe ame ɖeka dzi o. ""","That said, ""it’s highly unlikely that any one woman will get hit with everything, "" says The Menopause Book."
7684,"(The Menopause Book) Le nyateƒe me la, nu siawo dometɔ ʋɛ aɖewo koe dzɔna ɖe ame aɖewo dzi, eye le ame bubuwo hã gome la, ɖeke kura medzɔna ɖe wo dzi o.","Indeed, some experience few, if any, problems and discomforts."
7685,Ale Si Nànɔ Te Ðe Enui,How to Cope
7686,Asiɖeɖe le nuwɔna aɖewo ŋu ate ŋu aɖe kuxi siawo dometɔ aɖewo dzi akpɔtɔ.,Simple lifestyle changes may reduce some discomforts.
7687,Eɖea vi na nyɔnu geɖewo ne woƒo asa na nuɖuɖu aɖewo.,"For example, smokers may decrease the number of hot flashes by giving up tobacco."
7688,"Nuɖuɖu siawo dometɔ aɖewoe nye esiwo me nu ʋeʋĩwo kpakple sukli le fũu akpa kple aha sesẽ kpakple caffeine-nono, elabena nu siawo tea ŋu nana be ame ƒe lã me xɔa dzo.","Many women also benefit from dietary changes, such as limiting or even avoiding alcohol, caffeine, and spicy or sugary foods, which can trigger hot flashes."
7689,"Ke hã, ele vevie be nàɖu nu siwo me nunyiame le.","Of course, it is important to eat well, which means having a balanced and varied diet."
7690,Kamedede hã tea ŋu ɖea kuxi siwo doa mo ɖa ne nyɔnuwo dzudzɔ asiɖoɖo anyi la dzi kpɔtɔna.,Exercise can also be a big help in reducing menopausal symptoms.
7691,"Le kpɔɖeŋu me, kamedede ate ŋu aɖe alɔ̃madɔmadɔ dzi akpɔtɔ, eye wòaɖe ale si nyɔnu aɖewo nɔa anyi sẽe ko doa dziku alo léa blanui la dzi akpɔtɔ.","For instance, it can reduce insomnia and foster significant improvements in mood, as well as in bone strength and general health."
7692,Ðo Dze Tso Wò Nɔnɔmea Ŋu Faa,Communicate Openly
7693,"Rondro si ƒe nya míegblɔ va yi la gblɔ be: ""Mègamia nu ɖe wò kuxia dzi o.","""There is no need to suffer in silence, "" said Rondro, quoted earlier."
7694,"Ne èɖo dze tso eŋu na ame bubuwo la, womagatsi dzi fũu akpa ne wode dzesi nu si le dzɔdzɔm ɖe dziwò o. ""","""If you talk openly with loved ones, they will not worry too much when they notice what is happening to you. """
7695,"Le nyateƒe me la, ɖe woagbɔ dzi ɖi ahase nu gɔme na wò geɖe wu boŋ.","In fact, they may be more patient and understanding."
7696,"Biblia gblɔ be: ""Lɔlɔ̃ gbɔa dzi blewu, eye wònyoa dɔme. "" 1 Korintotɔwo 13:4.","""Love is patient and kind, "" says 1 Corinthians 13:4. Good News Translation."
7697,"Gbedodoɖa hã ɖea vi na nyɔnu geɖewo, siwo dometɔ aɖewoe nye nyɔnu siwo le nu xam le esi wotso vi ta.","Many women also benefit from prayer, including those who are grieved by their loss of fertility."
7698,"Biblia na kakaɖedzi mí be: ""[Mawu] faa akɔ na mí le míaƒe xaxa blibo la katã me. "" (2 Korintotɔwo 1:4) Nu si hã gafaa akɔ na amee nye enyanya be ɣeyiɣi kpui aɖe koe kuxi siwo me ame tona ne edzudzɔ asiɖoɖo anyi la nɔa anyi.","""[God] comforts us in all our troubles, "" the Bible assures us. (2 Corinthians 1:4, The New English Bible) Also comforting is the knowledge that the menopause transition is temporary."
7699,"Ne ɣeyiɣi mawo va yi la, ŋusẽ yeye gaɖoa nyɔnu siwo léa be na wo ɖokuiwo la ŋu eye wogatea ŋu sea vivi le agbe me hena ƒe geɖe. Blanuiléledɔ Ale Si Woadae","Afterward, women who continue to take good care of their health may find renewed energy and enjoy many more years of quality life."
7700,Blanuiléledɔ Ale Si Woadae,Depression How to Treat It
7701,"RUTH si blanuiléledɔ ɖe fu na ƒe geɖe la gblɔ be: ""Mía kple srɔ̃nye míetsɔ nye dɔlélea yi kɔdzi, míewɔ tɔtrɔ geɖe le agbe me, eye míedze agbagba vevie nɔa agbe le mɔ aɖe si ana agbea nanya nɔ nam la nu.","""MY HUSBAND and I have sought out medical treatment, made lifestyle changes, and worked hard to develop a routine that I can cope with, "" says Ruth, who has suffered with depression for many years."
7702,"Míekpɔe be atike si zãm mele la le dɔ wɔm, eye nye nɔnɔmea le kakam ɖe eme.","""We seem to have found an effective medication, and I am doing better."
7703,"Gake ɣeyiɣi siwo me nɔnɔmea gadoa mo ɖa eye nu sia nu si míawɔ doa kpo nu la, lɔlɔ̃ si srɔ̃nye ɖena fiaam madzudzɔmadzudzɔe kple xɔlɔ̃wo ƒe ɖetsɔleme ye kpena ɖe ŋunye nyemenaa ta o. ""","But during the time when nothing else seemed to work, the constant love of my husband and friends helped me not to give up. """
7704,"Abe ale si nu si me Ruth to ɖee fia ene la, ehiã be xɔlɔ̃wo kple ƒometɔwo nana kpekpeɖeŋu geɖe ale si woate ŋui la ame siwo blanuiléledɔ sesẽ le fu ɖem na, hekpe ɖe dɔdamɔnu ɖe sia ɖe si ƒe aɖaŋu ɖɔktawo aɖo la ŋu dɔ wɔwɔ ŋu.","As Ruth’s experience indicates, patients who suffer from clinical depression need all the support they can get, including whatever medical approach might be advisable."
7705,Enye nu si me afɔku le be woaŋe aɖaba aƒu blanuiléledɔa dada dzi elabena dɔ siawo dometɔ aɖewo ate ŋu ade ame ƒe agbe afɔku me ne womele atike wɔm o.,It can be risky to ignore depression because in some cases when left untreated it can be life-threatening.
7706,"Anɔ abe ƒe akpe eve enye sia ene la, Yesu Kristo gblɔ be atikewɔlawo ate ŋu ana kpekpeɖeŋu, esime wògblɔ be ‘ame siwo le dɔ lém la hiã atikewɔla.’","About two thousand years ago, Jesus Christ acknowledged that those with medical experience could provide needed help, when he said that ‘those who are ill need a physician.’"
7707,(Marko 2:17) Nyateƒeae nye be atikewɔlawo ate ŋu awɔ akpa vevi aɖe atsɔ aɖe blanuiléledɔlélaa ƒe fukpekpewo dzi kpɔtɔ.,(Mark 2:17) The fact is that physicians can do much to alleviate the suffering of many depressed patients.
7708,Edadamɔnu Aɖewo Siwo Ðea Vi,Some Helpful Options
7709,"Blanuiléledɔdada ƒe mɔnu vovovo li, eye dɔa ƒe dzesiwo kple ale si enu sẽe la dzie wonɔa te ɖo nyana mɔnu si woazã.","There are a number of treatments for depression, varying according to the symptoms and the severity of the illness."
7710,"(Kpɔ aɖaka si le axa 15, si ƒe tanyae nye, ""Blanuiléledɔ Ka Ƒomevie? "")","(See the box "" What Kind of Depression? "")"
7711,"Le ame geɖe go la, woƒe ƒomea ƒe ɖɔkta ate ŋu ana kpekpeɖeŋu wo, gake le ame bubuwo ya gome la, wohiã dɔdamɔnu si le etɔxɛ.","Many people may be helped by their family physician, but some need more specialized treatment."
7712,Ðɔktaa ate ŋu aŋlɔ blanuilélenulétike na amea alo akafu kpekpeɖeŋunamɔnu bubu aɖe nɛ.,The doctor might prescribe antidepressant medication or recommend some other form of assistance.
7713,"Dɔléla aɖewo ƒe nɔnɔmea ka ɖe eme na wo esi wozã gbetikewo, esi wotrɔ asi le woƒe nuɖuɖu ŋu, alo wɔ ɖoɖo ɖe kamedede si da sɔ ŋu.","Some people have experienced good results with herbal medications, dietary adjustments, or a controlled exercise program."
7714,Kuxi Aɖewo Siwo Doa Mo Ða,Common Issues
7715,1.,1.
7716,Xɔlɔ̃ nyuidinamela siwo si nuteƒekpɔkpɔ boo aɖeke mesu le atikewɔnyawo me o ate ŋu ava gblɔ atike siwo nàzã kple esiwo nàtsri la ŋu nya na wò.,Well-meaning friends with little or no medical training might try to tell you which method of treatment to accept and which to reject.
7717,"Woagate ŋu ate tɔ ɖe edzi be ele be nàzã gbetikewo, alo atike siwo ɖɔktawo ŋlɔ na wò loo alo be màgazã atike aɖeke kura o.","They might also have strong opinions about whether you should take herbal medicine, prescribed medication, or nothing at all."
7718,Bu nyaa ŋu: Kpɔ nyuie be kakaɖedzi le aɖaŋuɖoɖo ɖe sia ɖe si dzi nàlɔ̃ ɖo la ŋu.,Consider: Make sure that any advice you accept comes from a reliable source.
7719,"Mlɔeba la, wò ŋutɔe awɔ tiatia le dɔdamɔnu si nèkpɔ be esɔ na ye la ŋu.","In the end, you are the one who must make an informed choice."
7720,2.,2.
7721,"Dziɖeleameƒo tea ŋu naa dɔnɔ aɖewo dzudzɔa atike si woŋlɔ na wo la nono, elabena wose le wo ɖokui me be nɔnɔmea mele kakam ɖe eme na yewo o alo be eva le nu bubuwo gblẽm le yewo ŋu.",Discouragement may make patients discontinue their choice of treatment because they do not seem to be getting better or because of unpleasant side effects.
7722,"Bu nyaa ŋu: ‘Afi si adaŋudede mele o la, tameɖoɖowo tsia akpo dzi; ke afi si adaŋudela geɖewo le la, edzea edzi.’","Consider: ""There is a frustrating of plans where there is no confidential talk, but in the multitude of counselors there is accomplishment. """
7723,(Lododowo 15:22) Dɔdamɔnu aɖe si ŋu dɔ wɔm dɔnɔ aɖe le ate ŋu akpɔ dzidzedze nyuie wu ne dzeɖoɖo nyui le ɖɔktaa kple dɔnɔa dome.,(Proverbs 15:22) A program of medical therapy is more likely to succeed if there is good communication between doctor and patient.
7724,"Ƒo nu tso dɔa ƒe dzesi siwo doa mo ɖa alo nu siwo ŋu nètsi dzi ɖo la ŋu na wò ɖɔktaa, eye nàbiae nenye be ahiã be nàwɔ asitɔtrɔ aɖewo le atikea nono ŋu loo alo ahiã be nàyi enono dzi veviedodotɔe hafi akpɔ eƒe dɔwɔwɔ hã.","Frankly explain your concerns or describe your symptoms to your doctor, and ask whether you need to adjust the treatment or simply to persevere before you will begin to experience benefits."
7725,3.,3.
7726,Kakaɖeameɖokuidzi akpa ate ŋu ana dɔnɔawo nadzudzɔ atikea zazã kpata le kwasiɖa ʋɛ aɖewo ko megbe le esi wose le wo ɖokui me be nɔnɔmea ka ɖe eme na yewo vie ta.,Overconfidence can make patients stop their medical remedy abruptly after a few weeks because they feel better.
7727,Woate ŋu aŋlɔ ale si gbegbe woƒe nɔnɔmea nye ŋkubiãnyae hafi wodze atikea zazã gɔme la be.,They may forget how debilitating their symptoms were before they started their medication.
7728,Bu nyaa ŋu: Asiɖeɖe le atike si woŋlɔ na ame le kɔdzi zazã ŋu kpata ɖɔktaa mabiamabiae ate ŋu agblẽ nu le ame ŋu alo ade eƒe agbe gɔ̃ hã afɔku me.,Consider: Suddenly terminating medical treatment without consulting a doctor can have serious and even life-threatening consequences.
7729,"Togbɔ be Biblia menye atikewɔɖaŋuɖogbalẽ o hã la, Eŋlɔlaa, Yehowa Mawu, ye nye mía Wɔla.","Though the Bible is not a medical textbook, its Author, Jehovah God, is our Creator."
7730,Nyati si kplɔe ɖo adzro akɔfafa kple mɔfiafia siwo Mawu ƒe Nya la naa ame siwo blanuiléledɔ le fu ɖem na kpakple wo dzi kpɔlawo siaa la me. g09 07-E.,The next article will examine the comfort and guidance God’s Word provides both for those who suffer from depression and for their caregivers.
7731,[Etenuŋɔŋlɔ] ^ mm.,WHAT KIND OF DEPRESSION?
7732,Ele be ame sia ame ŋutɔ nada dɔdamɔnu vovovo siwo li la kpɔ nyuie hafi awɔ tiatia. [Aɖaka si le axa 15],The effectiveness of any particular medical approach depends on what type of depression a patient has.
7733,BLANUILÉLEDƆ KA ƑOMEVIE? Blanuiléledɔdada ƒe mɔnu si aɖe vi na ame la nɔ te ɖe blanuiléledɔ si ƒomevi le fu ɖem nɛ la dzi.,Major depression has symptoms that are severe enough to last six months or longer if untreated and that impact on most aspects of a sufferer’s life.
7734,▪ Nuwɔwɔ tramatrama ƒe dɔ alo blanuiléledɔ si naa nu tena ɖe ame dzi vevie.,Bipolar disorder is also known as manic depression.
7735,"Seselelãme ƒe fuɖename siwo gbɔ eme ate ŋu atso nu trama wɔwɔ adãtɔe si nɔa anyi ɣeyiɣi didi dzi ahatrɔ kpata azu blanuiléle vevie. Kpɔ nyati si nye ""Tenɔnɔ Ðe Seselelãme Trama Dɔwo Nu, "" si dze le January 8, 2004, ƒe Nyɔ! me.","Sufferers may experience emotional extremes that careen between prolonged episodes of intense hyperactivity (manias) and devastating lows (depressions).​ See the article ""Living With a Mood Disorder, "" in the January 8, 2004, issue of this magazine."
7736,"▪ Disaimia blanuiléledɔ; togbɔ be eƒe fuɖename nu mesẽna abe blanuiléledɔ sesẽ tɔ ene o hã la, blanuiléledɔ ƒe dzesi siwo dzena le dɔlélaa ŋu wɔnɛ be megatea ŋu wɔa nu ɖe ɖoɖo nyui nu o.","Dysthymia, although not as disabling as major depression, has depressive symptoms that make it difficult for the patient to function normally."
7737,"Le wo dometɔ aɖewo gome la, blanuiléledɔ sesẽ ɖea fu na wo enuenu.",Some may also experience intermittent periods of major depression.
7738,"▪ Vidzidzi megbe ƒe blanuiléledɔ nye seselelãmedɔ si ɖea fu na vidadawo vevie le vidzidzi megbe. Kpɔ nyati si nye ""Vidzidzi Megbe Blanuiléle Gɔme Sese (Understanding Postpartum Depression,) "" si dze le June 8, 2003, ƒe Nyɔ! yevugbe me tɔ me.","Postpartum depression is a debilitating emotional condition that affects many mothers after they give birth.​ See the article ""Understanding Postpartum Depression, "" in the June 8, 2003, issue of this magazine."
7739,▪ Vuvɔŋɔli me nuteɖeamedzi ɖea fu na amewo le esi womegakpɔa ŋdɔ le kele kple vuvɔŋɔli me o ta.,Seasonal affective disorder likely occurs as a result of a lack of sunlight during autumn and winter.
7740,"Zi geɖe la, enu yina le adame kple dzomeŋɔli me.",It usually clears up during spring and summer.
7741,Blanuiléledɔ,Depression
7742,Nu kae nye blanuiléledɔ?,What is depression?
7743,"""Wobɔbɔm ɖe anyi, eye woɖi gbɔ̃m eye ŋkeke bliboa mele yiyim le nuxaxa me. ""","""I have become disconcerted, I have bowed low to an extreme degree; all day long I have walked about sad. """
7744,"Psalmo 38:6, Agbenya La.",Psalm 38:6.
7745,NYA SIWO NUMEKULAWO GBLƆNA,WHAT RESEARCHERS SAY
7746,"Mí katã míeléa blanui ɣeaɖewoɣi, gake blanuiléledɔ ya nana wɔna vɔna le ame ŋu eye wònana ame megatea ŋu wɔa eƒe gbe sia gbe dɔwo ale si dze o.","Everyone feels down now and then, but clinical depression is a debilitating disorder that is ongoing and that interferes with a person’s daily life."
7747,Ele be míanya be ɖɔktawo katã ƒe nu mesɔ le nu si nye blanuiléle kple blanuiléledɔ gome o.,"It should be noted that not all experts agree on what is ""normal "" sadness and what constitutes a ""disorder. """
7748,"Ke hã míate ŋu agblɔe wòasɔ be nu tena ɖe ame aɖewo dzi vevie eye ɣeaɖewoɣi la, wobua fɔ wo ɖokuiwo vevie hesusunɛ be yewomele bo aɖeke nu o.","However, it is safe to say that some people experience profoundly negative emotions, at times accompanied by feelings of worthlessness and inordinate guilt."
7749,NYA SI BIBLIA GBLƆ,WHAT THE BIBLE SAYS
7750,Woƒo nu tso ŋutsu kple nyɔnu siwo dzi nu te ɖo vevie la ŋu le Biblia me.,The Bible tells of many men and women who experienced negative emotions.
7751,"Le kpɔɖeŋu me, wogblɔ be Xana ‘xa nu vevie,’ si gɔme woɖe le Biblia aɖewo me be eƒe ""dzi gbã "" kple elé ""blanui vevie. "" (1 Samuel 1:10) Ɣeaɖeɣi la, nu te ɖe nyagblɔɖila Eliya dzi ale gbegbe be wòdo gbe ɖa na Mawu be wòaɖe yeƒe agbe ɖa. 1 Fiawo 19:4","For example, Hannah felt ""bitter of soul "" a phrase that has been rendered as ""brokenhearted "" and ""deeply distressed. "" (1 Samuel 1:10) On one occasion the prophet Elijah was so grief-stricken that he prayed for God to take his life! 1 Kings 19:4."
7752,"Wogblɔ na ƒe alafa gbãtɔ me Kristotɔwo be woaƒo nu ""na luʋɔ siwo lé blanui la akɔfafatɔe. "" (1 Tesalonikatɔwo 5:14) Numekugbalẽ aɖe gblɔ be nyagbɔgblɔ ""luʋɔ siwo lé blanui "" ate ŋu afia ame siwo ""agbemekuxiwo do agba na hena ɣeyiɣi aɖe. ""","First-century Christians were instructed to ""speak consolingly to the depressed souls. "" (1 Thessalonians 5:14) According to one reference work, the term ""depressed souls "" can refer to those ""who are temporarily overwhelmed by the stress of life. """
7753,Edze ƒãa be ŋutsu kple nyɔnu nuteƒewɔla siwo ŋu Biblia ƒo nu tsoe la gɔ̃ hã lé blanui ɣeaɖewoɣi.,"Clearly, even faithful men and women of the Bible at times felt depressed."
7754,Ame si le blanuiléledɔ lém la ƒe vodadae wònyea?,Is depression the sufferer’s fault?
7755,"""Nuwɔwɔ blibo la katã le ŋeŋem ɖekae, eye wòle veve sem ɖekae. ""","""All creation keeps on groaning together and being in pain together. """
7756,Romatɔwo 8:22.,Romans 8:22.
7757,NYA SI BIBLIA GBLƆ,WHAT THE BIBLE SAYS
7758,Biblia fia nu be aglã si atsu kple asi gbãtɔ dze la gbɔe wòtso be míeléa dɔ.,The Bible teaches that illness is a by-product of the rebellion of the first human couple.
7759,"Le kpɔɖeŋu me, Psalmo 51:7 gblɔ be: ""Vodada me wodzim ɖo, eye nu vɔ̃ me danye fɔ nye fu ɖo. ""","For example, Psalm 51:5 states: ""With error I was brought forth with birth pains, and in sin my mother conceived me. """
7760,"Eye Romatɔwo 5:12 hã gblɔ be: ""To ame ɖeka [Adam si nye amegbetɔ gbãtɔ] dzi nu vɔ̃ ge ɖe xexea me, eye to nu vɔ̃ me ku la va, eye ale ku la kaka ɖe amewo katã dome, esi wo katã wɔ nu vɔ̃ ŋuti la. ""","And Romans 5:12 explains that ""through one man [the first human, Adam] sin entered into the world and death through sin, and thus death spread to all men because they had all sinned. """
7761,"Esi míenyi blibomademade ƒe dome tso Adam gbɔ ta la, mí katã míeléa dɔ eye nu tena ɖe mía dzi.","Because we have inherited imperfection from Adam, each of us is susceptible to illness, both physical and emotional."
7762,"Ale wɔ Biblia gblɔ be, ""nuwɔwɔ blibo la katã le ŋeŋem ɖekae, eye wòle veve sem ɖekae. ""","As a result, says the Bible, ""all creation keeps on groaning together and being in pain together. """
7763,"(Romatɔwo 8:22) Ke hã Biblia na mɔkpɔkpɔ aɖe mí si dɔdala aɖeke mate ŋu ana o, eyae nye be Mawu do ŋugbe be yeana xexe yeye si me ŋutifafa anɔ nava eye dɔléle kple seselelãmedɔwo, siwo dometɔ ɖekae nye blanuiléledɔ, katã nu ayi.","(Romans 8:22) However, the Bible also offers a hope that no physician can extend God’s promise of a peaceful new world in which all sicknesses and disorders, including depression, will be gone."
7764,Nyaɖeɖefia 21:4.,Revelation 21:4.
7765,Aleke nàwɔ anɔ te ɖe blanuiléledɔ nu?,How can you cope with depression?
7766,"""Yehowa tsɔ ɖe ame siwo ƒe dzi gbã gudugudu la gbɔ, eye wòxɔna na ame siwo ƒe gbɔgbɔ woƒo ƒu anyi. ""","""Jehovah is near to those that are broken at heart; and those who are crushed in spirit he saves. """
7767,Psalmo 34:19.,Psalm 34:18.
7768,NU KA TA WÒLE BE NÀTSƆ ÐE LE NYA SIA ME?,WHY IT MATTERS
7769,"Màte ŋu akpɔ ŋusẽ ɖe wò nɔnɔmewo dzi ɣesiaɣi o, eye nu madeamedziwo adzɔ ɖe mía dzi ɣeaɖewoɣi godoo.","You cannot always control your circumstances, and bad things are bound to affect you at times."
7770,"(Nyagblɔla 9:11, 12) Ke hã àte ŋu aɖe afɔ aɖewo siwo akpe ɖe ŋuwò be nuteɖeamedziwo nagakpe dziwò o.","(Ecclesiastes 9:11, 12) You can, however, develop a practical strategy so that negative feelings do not dominate your life."
7771,NYA SI BIBLIA GBLƆ,WHAT THE BIBLE SAYS
7772,Biblia gblɔ be ame siwo le dɔ lém la hiã atikewɔlawo.,The Bible acknowledges that those who are sick need a physician.
7773,"(Luka 5:31) Eya ta ne èléa blanui wògbɔa eme la, anyo be nàdi atikewɔlawo ƒe mɔ.","(Luke 5:31) So if you suffer from a debilitating mood disorder, there is nothing wrong with seeking medical attention."
7774,Biblia na míenya hã be gbedodoɖa le vevie ŋutɔ.,The Bible also emphasizes the value of prayer.
7775,"Le kpɔɖeŋu me, Psalmo 55:23 gblɔ be: ""Tsɔ wò nyawo dro ɖe Yehowa dzi, eyae akpɔ tawò; emana ke naɖe le ame dzɔdzɔe te akpɔ gbeɖe o. ""","For example, Psalm 55:22 says: ""Throw your burden upon Jehovah himself, and he himself will sustain you."
7776,"Menye nu si ana ame nase le eɖokui me be yekpɔ gbɔdzɔe dzro aɖe koe gbedodoɖa nye o, ke boŋ enye nuƒoƒo ŋutɔŋutɔ kple Yehowa Mawu ame si ""tsɔ ɖe ame siwo ƒe dzi gbã gudugudu la gbɔ. ""","Never will he allow the righteous one to totter. "" Prayer is not a psychological crutch; it is real communication with Jehovah God, who is ""near to those that are broken at heart. """
7777,Psalmo 34:19.,Psalm 34:18.
7778,Ate ŋu aɖe vi na wò hã be nàɖe wò dzimenyawo agblɔ na xɔ̃wò vevi aɖe.,You may also benefit by confiding your feelings to a close friend.
7779,"(Lododowo 17:17) Daniela si nye Yehowa Ðasefo gblɔ be: ""Haxɔsetɔ aɖe de dzi ƒo nam xɔlɔ̃wɔwɔtɔe be míaɖo dze tso nye blanuiléledɔa ŋu.","(Proverbs 17:17) ""A fellow believer gently coaxed me to talk about my depression, "" says Daniela, one of Jehovah’s Witnesses."
7780,"Togbɔ be menɔ sisim le dzeɖoɖo sia nu ƒe geɖee nye ema hã la, meva kpɔe be ɖe wòle be maɖo dze tso nya sia ŋu nɛ xoxoxo.","""Although I had been avoiding such a conversation for years, I soon realized that this was what I needed all along."
7781,"Nye dzi dze eme ale gbegbe le dzeɖoɖo ma megbe. ""","I was surprised at how relieved I felt afterward. """
7782,Nu Ka Tae Maganɔ Agbe Ðo?,Why Go On?
7783,"DIANA nye ɖetugbui si ƒe tagbɔ kɔ, edoa vivi ɖe ame ŋu eye wòwɔa xɔlɔ̃.","IF YOU met Diana, you would find her to be an intelligent, friendly, and gregarious young woman."
7784,"Togbɔ be nɔnɔme lédziname siawo le Diana si hã la, seselelãme ɖefuname aɖe ɖe kpe nɛ si nana wòsena le eɖokui me be yemele ɖeke me o.","But beneath Diana’s charming exterior lurks a crippling despair that leaves her feeling utterly worthless for days, weeks, or even months at a time."
7785,"Ɣeaɖewoɣi la, seselelãme sia ɖea fu nɛ ŋkekewo, kwasiɖawo kple ɣletiwo.","""Not a day goes by that I don’t think about dying, "" she says."
7786,"Egblɔ be: ""Ku dzroam gbe sia gbe. Mexɔe se be xexea me anya nɔ na amewo wu ne meku. ""","""I truly believe that the world would be a better place without me. """
7787,"""Numekukuwo ɖee fia be ne ame ɖeka wu eɖokui la, ke ame 200 aɖewo ya tee kpɔ be yewoawu yewo ɖokuiwo eye ame 400 hã bu eŋu. ""","""Some studies have shown that for every death by suicide, 200 people have attempted suicide and 400 [other] people have thought about it. """
7788,"THE GAZETTE, MONTREAL, CANADA.","THE GAZETTE, MONTREAL, CANADA."
7789,Diana gblɔ be yemawu ye ɖokui gbeɖe ya o.,Diana says that she would never kill herself.
7790,"Gake ɣeaɖewoɣi la, menyaa nu si koŋ tae wòagayi edzi anɔ agbe ɖo o.","Still, at times she sees little point in going on with life."
